Table,Sponsoring Institution,Sponsoring Institution Cleaned,SNHAF,City,City Cleaned,Specialty,Specialty Cleaned,Program Code,2025 Quota,2025 Matched,2024 Quota,2024 Matched,2023 Quota,2023 Matched,2022 Quota,2022 Matched,2021 Quota,2021 Matched,2020 Quota,2020 Matched
Main,AdventHealth Florida,AdventHealth Florida,NOT,Orlando,Tampa,General Surgery/Tampa,General Surgery,1102440C1,4,4,4,4,0,0,0,0,0,0,0,0
Main,AdventHealth Florida,AdventHealth Florida,NOT,Orlando,Tampa,Surgery Prelim/Tampa,Surgery-Preliminary,1102440P0,4,3,4,4,0,0,0,0,0,0,0,0
Main,AdventHealth Florida,AdventHealth Florida,NOT,Orlando,Orlando,Transitional,Transitional,1102999P0,13,13,0,0,0,0,0,0,0,0,0,0
Main,Aventura Hospital-FL,HCA Aventura Hospital,NOT,Aventura,Aventura,Emergency Medicine,Emergency Medicine,1752110C0,0,0,0,0,0,0,0,0,12,12,12,12
Main,Aventura Hospital-FL,HCA Aventura Hospital,NOT,Aventura,Aventura,Internal Medicine,Internal Medicine,1752140C0,0,0,0,0,0,0,0,0,15,15,15,15
Main,Aventura Hospital-FL,HCA Aventura Hospital,NOT,Aventura,Aventura,Psychiatry,Psychiatry,1752400C0,0,0,0,0,0,0,0,0,5,5,5,5
Main,Aventura Hospital-FL,HCA Aventura Hospital,NOT,Aventura,Aventura,Radiology-Diagnostic,Radiology-Diagnostic,1752420C0,0,0,0,0,0,0,0,0,5,1,0,0
Main,Aventura Hospital-FL,HCA Aventura Hospital,NOT,Aventura,Aventura,Radiology-Diagnostic,Radiology-Diagnostic,1752420R0,0,0,0,0,0,0,0,0,1,1,0,0
Main,Aventura Hospital-FL,HCA Aventura Hospital,NOT,Aventura,Aventura,Transitional,Transitional,1752999P0,0,0,0,0,0,0,0,0,8,8,13,13
Main,Baptist Health South Florida,Baptist Health South Florida,NOT,Coral Gables,Miami,Family Medicine/FIU,Family Medicine,2331120C0,0,0,4,4,4,4,0,0,0,0,0,0
Main,BayCare Health System-FL,BayCare Health System,NOT,Clearwater,Clearwater,Emergency Medicine,Emergency Medicine,2300110C0,10,10,0,0,0,0,0,0,0,0,0,0
Main,BayCare Health System-FL,BayCare Health System,NOT,Clearwater,Clearwater,Family Medicine,Family Medicine,2300120C0,6,6,6,6,0,0,0,0,0,0,0,0
Main,BayCare Health System-FL,BayCare Health System,NOT,Clearwater,Tampa,Internal Medicine/St Josephs,Internal Medicine,2300140C0,26,26,39,19,0,0,0,0,0,0,0,0
Main,BayCare Health System-FL,BayCare Health System,NOT,Clearwater,Safety Harbor,Internal Med/Mease Countryside,Internal Medicine,2300140C1,20,20,0,0,0,0,0,0,0,0,0,0
Main,BayCare Health System-FL,BayCare Health System,NOT,Clearwater,New Port Richey,Int Med//Morton Plant North Bay,Internal Medicine,2300140C2,10,10,0,0,0,0,0,0,0,0,0,0
Main,BayCare Health System-FL,BayCare Health System,NOT,Clearwater,St Petersburg,Int Med/St Anthonys Hosp,Internal Medicine,2300140C3,20,20,0,0,0,0,0,0,0,0,0,0
Main,BayCare Health System-FL,BayCare Health System,NOT,Clearwater,Riverview,Int Med/St Josephs Hosp-South,Internal Medicine,2300140C4,10,10,0,0,0,0,0,0,0,0,0,0
Main,BayCare Health System-FL,BayCare Health System,NOT,Clearwater,Clearwater,Pediatrics,Pediatrics,2300320C0,8,8,8,5,8,8,8,8,0,0,0,0
Main,BayCare Health System-FL,BayCare Health System,NOT,Clearwater,Clearwater,Psychiatry,Psychiatry,2300400C0,7,7,6,6,6,6,6,6,0,0,0,0
Main,BayCare Health System-FL,BayCare Health System,NOT,Clearwater,Clearwater,General Surgery,General Surgery,2300440C0,4,4,0,0,0,0,0,0,0,0,0,0
Main,BayCare Health System-FL,BayCare Health System,NOT,Clearwater,Clearwater,Transitional,Transitional,2300999P0,15,15,0,0,0,0,0,0,0,0,0,0
Main,Bayfront Med Ctr-FL,OH Bayfront Med Ctr,SNHAF,St Petersburg,St Petersburg,Family Medicine,Family Medicine,1911120C0,8,8,8,8,8,8,8,8,8,8,8,8
Main,Bayfront Med Ctr-FL,OH Bayfront Med Ctr,SNHAF,St Petersburg,St Petersburg,Obstetrics-Gynecology,Obstetrics-Gynecology,1911220C0,4,4,4,4,4,4,4,4,4,4,4,4
Main,Borinquen Health Care Ctr-FL,Borinquen Health Care Ctr,NOT,Miami,Miami,Family Medicine,Family Medicine,2254120C0,4,4,4,4,4,4,4,4,4,4,4,4
Main,Broward Health Med Ctr-FL,Broward Health Med Ctr,SNHAF,Fort Lauderdale,Fort Lauderdale,Dermatology,Dermatology,1892080A0,3,3,3,3,3,3,3,3,3,3,3,3
Main,Broward Health Med Ctr-FL,Broward Health Med Ctr,SNHAF,Fort Lauderdale,Fort Lauderdale,Emergency Medicine,Emergency Medicine,1892110C0,15,15,15,12,13,7,13,8,13,13,0,0
Main,Broward Health Med Ctr-FL,Broward Health Med Ctr,SNHAF,Fort Lauderdale,Fort Lauderdale,Family Medicine,Family Medicine,1892120C0,7,7,7,6,5,5,5,5,5,5,5,5
Main,Broward Health Med Ctr-FL,Broward Health Med Ctr,SNHAF,Fort Lauderdale,Fort Lauderdale,Internal Medicine,Internal Medicine,1892140C0,18,18,18,18,16,16,16,12,16,16,16,16
Main,Broward Health Med Ctr-FL,Broward Health Med Ctr,SNHAF,Fort Lauderdale,Fort Lauderdale,Internal Med/North Program,Internal Medicine,1892140C1,16,16,15,15,15,15,15,15,15,15,0,0
Main,Broward Health Med Ctr-FL,Broward Health Med Ctr,SNHAF,Fort Lauderdale,Fort Lauderdale,Neurology,Neurology,1892180C0,3,3,0,0,0,0,0,0,0,0,0,0
Main,Broward Health Med Ctr-FL,Broward Health Med Ctr,SNHAF,Fort Lauderdale,Fort Lauderdale,Orthopaedic Surgery,Orthopaedic Surgery,1892260C0,4,4,3,3,3,3,3,3,3,3,3,3
Main,Broward Health Med Ctr-FL,Broward Health Med Ctr,SNHAF,Fort Lauderdale,Fort Lauderdale,Pediatrics,Pediatrics,1892320C0,9,9,9,3,8,6,8,8,8,8,8,8
Main,Broward Health Med Ctr-FL,Broward Health Med Ctr,SNHAF,Fort Lauderdale,Fort Lauderdale,Phys Medicine & Rehab,Physical Medicine & Rehabilitation,1892340A0,4,4,4,4,0,0,0,0,0,0,0,0
Main,Broward Health Med Ctr-FL,Broward Health Med Ctr,SNHAF,Fort Lauderdale,Fort Lauderdale,Phys Medicine & Rehab,Physical Medicine & Rehabilitation,1892340R0,0,0,4,4,0,0,0,0,0,0,0,0
Main,Broward Health Med Ctr-FL,Broward Health Med Ctr,SNHAF,Fort Lauderdale,Fort Lauderdale,Psychiatry,Psychiatry,1892400C0,5,5,5,5,5,5,5,5,0,0,0,0
Main,Broward Health Med Ctr-FL,Broward Health Med Ctr,SNHAF,Fort Lauderdale,Fort Lauderdale,General Surgery,General Surgery,1892440C0,6,6,6,6,6,6,6,6,6,6,6,6
Main,Broward Health Med Ctr-FL,Broward Health Med Ctr,SNHAF,Fort Lauderdale,Fort Lauderdale,Transitional,Transitional,1892999P0,0,0,0,0,4,4,4,4,4,4,4,4
Main,Broward Health Med Ctr-FL,Broward Health Med Ctr,SNHAF,Fort Lauderdale,Fort Lauderdale,Transitional/North Program,Transitional,1892999P1,16,16,16,16,16,16,16,16,0,0,0,0
Main,Centerstone-FL,Centerstone,NOT,Bradenton,Bradenton,Psychiatry,Psychiatry,2242400C0,6,6,4,4,4,4,5,5,4,4,4,4
Main,Citrus Health Network-FL,Citrus Health Network,NOT,Hialeah,Hialeah,Psychiatry,Psychiatry,1864400C0,4,4,4,4,4,4,4,4,4,4,4,4
Main,Cleveland Clinic Florida,Cleveland Clinic Florida,NOT,Weston,Weston,Anesthesiology,Anesthesiology,1383040C0,6,6,5,5,5,5,5,5,5,5,5,5
Main,Cleveland Clinic Florida,Cleveland Clinic Florida,NOT,Weston,Weston,Internal Medicine,Internal Medicine,1383140C0,13,13,9,9,9,9,9,9,9,9,9,9
Main,Cleveland Clinic Florida,Cleveland Clinic Florida,NOT,Weston,Weston,Med-Prelim/Neurology,Medicine-Preliminary,1383140P0,4,4,2,2,2,2,2,2,2,2,2,2
Main,Cleveland Clinic Florida,Cleveland Clinic Florida,NOT,Weston,Weston,Medicine-Preliminary,Medicine-Preliminary,1383140P1,4,4,2,2,2,2,2,2,2,0,2,2
Main,Cleveland Clinic Florida,Cleveland Clinic Florida,NOT,Weston,Weston,Neurology,Neurology,1383180A0,4,4,2,2,2,2,2,2,2,2,2,2
Main,Cleveland Clinic Florida,Cleveland Clinic Florida,NOT,Weston,Weston,Neurology,Neurology,1383180R0,1,1,0,0,2,1,0,0,0,0,0,0
Main,Cleveland Clinic Florida,Cleveland Clinic Florida,NOT,Weston,Weston,General Surgery,General Surgery,1383440C0,4,4,4,4,4,4,3,3,3,3,3,3
Main,Cleveland Clinic Florida,Cleveland Clinic Florida,NOT,Weston,Weston,Surgery-Preliminary,Surgery-Preliminary,1383440P0,3,3,2,2,0,0,3,3,4,4,3,3
Main,Community Health of South Florida,Community Health of South Florida,NOT,Miami,Miami,Family Medicine,Family Medicine,2194120C0,7,6,5,5,4,4,6,6,4,4,4,4
Main,Community Health of South Florida,Community Health of South Florida,NOT,Miami,Miami,Psychiatry,Psychiatry,2194400C0,5,5,4,4,5,5,5,5,2,2,4,4
Main,FAU-Schmidt COM-FL,FAU-Schmidt COM,NOT,Boca Raton,Boca Raton,Emergency Medicine,Emergency Medicine,1586110C0,6,6,6,6,7,7,6,6,6,6,6,6
Main,FAU-Schmidt COM-FL,FAU-Schmidt COM,NOT,Boca Raton,Boca Raton,Internal Medicine,Internal Medicine,1586140C0,24,24,24,24,24,24,24,24,24,24,24,24
Main,FAU-Schmidt COM-FL,FAU-Schmidt COM,NOT,Boca Raton,Boca Raton,Medicine-Preliminary,Medicine-Preliminary,1586140P0,0,0,0,0,3,3,2,2,3,2,3,1
Main,FAU-Schmidt COM-FL,FAU-Schmidt COM,NOT,Boca Raton,Boca Raton,Neurology,Neurology,1586180C0,3,3,3,3,3,3,3,3,3,3,3,3
Main,FAU-Schmidt COM-FL,FAU-Schmidt COM,NOT,Boca Raton,Boca Raton,Psychiatry,Psychiatry,1586400C0,3,3,4,4,4,4,4,4,4,4,4,4
Main,FAU-Schmidt COM-FL,FAU-Schmidt COM,NOT,Boca Raton,Boca Raton,General Surgery,General Surgery,1586440C0,7,7,7,7,7,7,6,6,6,6,6,6
Main,FAU-Schmidt COM-FL,FAU-Schmidt COM,NOT,Boca Raton,Boca Raton,Surgery-Preliminary,Surgery-Preliminary,1586440P0,5,2,5,1,5,2,5,1,5,1,5,1
Main,Florida Dept of Health Palm Beach Cnty,Florida Dept of Health Palm Beach Cnty,NOT,West Palm Beach,West Palm Beach,Public Health & Preventive Medicine,Public Health & Preventive Medicine,1777380R0,2,1,0,0,0,0,0,0,0,0,0,0
Main,Florida International Univ,Florida International Univ,NOT,Miami,Miami,Family Medicine,Family Medicine,2317120C0,4,4,0,0,0,0,0,0,0,0,0,0
Main,Florida International Univ,Florida International Univ,NOT,Miami,Miami,Internal Med/Baptist Health,Internal Medicine,2317140C0,24,24,0,0,0,0,0,0,0,0,0,0
Main,Florida International Univ,Florida International Univ,NOT,Miami,Miami,Medicine-Primary,Medicine-Primary,2317140M0,6,6,6,6,6,4,6,6,0,0,0,0
Main,Florida International Univ,Florida International Univ,NOT,Miami,Miami,Med-Prelim/Baptist Health,Medicine-Preliminary,2317140P0,3,3,0,0,0,0,0,0,0,0,0,0
Main,Florida International Univ,Florida International Univ,NOT,Miami,Miami,Med-Prelim/Radiology,Medicine-Preliminary,2317140P1,3,3,0,0,0,0,0,0,0,0,0,0
Main,Florida International Univ,Florida International Univ,NOT,Miami,Miami,Neurology,Neurology,2317180C0,4,4,0,0,0,0,0,0,0,0,0,0
Main,Florida International Univ,Florida International Univ,NOT,Miami,Miami,Radiology-Diagnostic,Radiology-Diagnostic,2317420A0,5,5,0,0,0,0,0,0,0,0,0,0
Main,Florida International Univ,Florida International Univ,NOT,Miami,Miami,General Surgery,General Surgery,2317440C0,5,5,0,0,0,0,0,0,0,0,0,0
Main,Florida International Univ,Florida International Univ,NOT,Miami,Miami,Surgery-Preliminary,Surgery-Preliminary,2317440P0,2,0,0,0,0,0,0,0,0,0,0,0
Main,Florida International Univ,Florida International Univ,NOT,Miami,Miami,Surg-Prelim/Radiology,Surgery-Preliminary,2317440P1,2,1,0,0,0,0,0,0,0,0,0,0
Main,Florida State University COM,Florida State University COM (Sarasota),SNHAF,Tallahassee,Sarasota,Emergency Medicine/Sarasota,Emergency Medicine,1826110C0,9,9,9,9,9,9,9,9,9,9,9,9
Main,Florida State University COM,Florida State University COM (Fort Myers - LH),SNHAF,Tallahassee,Fort Myers,Family Medicine/Lee Memorial,Family Medicine,1826120C0,10,10,9,9,9,9,8,8,8,8,8,8
Main,Florida State University COM,Florida State University COM (Winter Haven),SNHAF,Tallahassee,Winter Haven,Family Medicine/Winter Haven,Family Medicine,1826120C1,8,5,8,8,8,8,8,8,6,6,6,6
Main,Florida State University COM,Florida State University COM (Tallahassee),SNHAF,Tallahassee,Tallahassee,Internal Medicine/Tallahassee,Internal Medicine,1826140C0,11,11,10,8,10,10,8,8,8,8,7,7
Main,Florida State University COM,Florida State University COM (Sarasota),SNHAF,Tallahassee,Sarasota,Internal Medicine/Sarasota,Internal Medicine,1826140C1,16,16,14,14,13,13,13,13,13,13,13,13
Main,Florida State University COM,Florida State University COM (Cape Coral - LH),SNHAF,Tallahassee,Cape Coral,Internal Medicine/Cape Coral,Internal Medicine,1826140C2,12,12,12,12,12,12,12,12,0,0,0,0
Main,Florida State University COM,Florida State University COM (Tallahassee),SNHAF,Tallahassee,Tallahassee,Med-Prelim/Tallahassee,Medicine-Preliminary,1826140P0,2,2,2,1,1,1,2,2,2,2,2,1
Main,Florida State University COM,Florida State University COM (Tallahassee),SNHAF,Tallahassee,Tallahassee,Psychiatry,Psychiatry,1826400C0,4,4,0,0,0,0,0,0,0,0,0,0
Main,Florida State University COM,Florida State University COM (Tallahassee),SNHAF,Tallahassee,Tallahassee,General Surgery,General Surgery,1826440C0,3,3,2,2,2,2,2,2,2,2,2,2
Main,Florida State University COM,Florida State University COM (Tallahassee),SNHAF,Tallahassee,Tallahassee,Surgery-Preliminary,Surgery-Preliminary,1826440P0,2,1,2,0,2,0,2,0,2,0,2,1
Main,Florida State University COM,Florida State University COM (Tallahassee),SNHAF,Tallahassee,Tallahassee,Transitional,Transitional,1826999P0,12,12,13,13,0,0,0,0,0,0,0,0
Main,Halifax Med Ctr-FL,Halifax Med Ctr,SNHAF,Daytona Beach,Daytona Beach,Family Medicine,Family Medicine,1629120C0,8,4,8,8,8,8,8,7,8,8,8,8
Main,HCA Healthcare East FL Division GME,HCA Healthcare East FL Division GME,NOT,Margate,Tamiami,Anesthesiology/Kendall,Anesthesiology,2232040A0,6,6,6,6,6,6,6,6,0,0,0,0
Main,HCA Healthcare East FL Division GME,HCA Healthcare East FL Division GME,NOT,Margate,Plantation,Anesthesiology/Westside,Anesthesiology,2232040C0,6,6,6,6,6,6,6,6,6,6,0,0
Main,HCA Healthcare East FL Division GME,HCA Healthcare East FL Division GME,NOT,Margate,Plantation,Anesthesiology/Westside,Anesthesiology,2232040R0,0,0,1,1,0,0,0,0,6,6,0,0
Main,HCA Healthcare East FL Division GME,HCA Healthcare East FL Division GME,NOT,Margate,Aventura,Emergency Medicine/Aventura,Emergency Medicine,2232110C0,12,12,12,10,12,4,12,11,0,0,0,0
Main,HCA Healthcare East FL Division GME,HCA Healthcare East FL Division GME,NOT,Margate,St. Lucie,Emergency Medicine/St Lucie,Emergency Medicine,2232110C1,6,4,6,6,5,1,6,0,0,0,0,0
Main,HCA Healthcare East FL Division GME,HCA Healthcare East FL Division GME,NOT,Margate,Tamiami,Emergency Medicine/Kendall,Emergency Medicine,2232110C2,12,12,12,12,12,12,12,10,0,0,0,0
Main,HCA Healthcare East FL Division GME,HCA Healthcare East FL Division GME,NOT,Margate,Plantation,Emergency Medicine/Westside,Emergency Medicine,2232110C3,13,13,13,13,13,5,13,6,0,0,0,0
Main,HCA Healthcare East FL Division GME,HCA Healthcare East FL Division GME,NOT,Margate,St. Lucie,Family Medicine/St Lucie,Family Medicine,2232120C0,6,3,6,2,5,5,6,5,0,0,0,0
Main,HCA Healthcare East FL Division GME,HCA Healthcare East FL Division GME,NOT,Margate,Plantation,Internal Medicine/Westside,Internal Medicine,2232140C0,15,15,24,20,15,14,15,2,15,6,15,7
Main,HCA Healthcare East FL Division GME,HCA Healthcare East FL Division GME,NOT,Margate,Aventura,Internal Medicine/Aventura,Internal Medicine,2232140C1,15,15,15,15,15,15,15,8,0,0,0,0
Main,HCA Healthcare East FL Division GME,HCA Healthcare East FL Division GME,NOT,Margate,Tamiami,Internal Medicine/Kendall,Internal Medicine,2232140C2,14,14,13,9,14,9,14,14,0,0,0,0
Main,HCA Healthcare East FL Division GME,HCA Healthcare East FL Division GME,NOT,Margate,Lawnwood,Internal Medicine/Lawnwood,Internal Medicine,2232140C3,15,11,15,15,15,15,0,0,0,0,0,0
Main,HCA Healthcare East FL Division GME,HCA Healthcare East FL Division GME,NOT,Margate,Plantation,Neurology/Westside,Neurology,2232180C0,4,4,4,3,4,3,0,0,0,0,0,0
Main,HCA Healthcare East FL Division GME,HCA Healthcare East FL Division GME,NOT,Margate,Tamiami,Neurology/Kendall,Neurology,2232180C1,3,3,0,0,0,0,0,0,0,0,0,0
Main,HCA Healthcare East FL Division GME,HCA Healthcare East FL Division GME,NOT,Margate,Plantation,Obstetrics-Gynecology/Westside,Obstetrics-Gynecology,2232220C0,4,4,4,4,4,4,4,4,0,0,0,0
Main,HCA Healthcare East FL Division GME,HCA Healthcare East FL Division GME,NOT,Margate,Plantation,Pathology/Westside,Pathology,2232300C0,2,2,2,2,2,2,2,1,0,0,0,0
Main,HCA Healthcare East FL Division GME,HCA Healthcare East FL Division GME,NOT,Margate,Loxahatchee,Pediatrics/Palms West,Pediatrics,2232320C0,6,0,6,2,6,3,6,2,0,0,0,0
Main,HCA Healthcare East FL Division GME,HCA Healthcare East FL Division GME,NOT,Margate,Bay Pines,Psychiatry/Aventura,Psychiatry,2232400C0,5,5,5,5,5,5,5,5,0,0,0,0
Main,HCA Healthcare East FL Division GME,HCA Healthcare East FL Division GME,NOT,Margate,University,Psychiatry/University,Psychiatry,2232400C1,6,6,6,6,8,8,8,8,0,0,0,0
Main,HCA Healthcare East FL Division GME,HCA Healthcare East FL Division GME,NOT,Margate,Aventura,Radiology-Diagnostic/Aventura,Radiology-Diagnostic,2232420C0,7,7,7,7,5,5,5,5,0,0,0,0
Main,HCA Healthcare East FL Division GME,HCA Healthcare East FL Division GME,NOT,Margate,Aventura,Radiology-Diagnostic/Aventura,Radiology-Diagnostic,2232420R0,0,0,2,2,0,0,0,0,0,0,0,0
Main,HCA Healthcare East FL Division GME,HCA Healthcare East FL Division GME,NOT,Margate,Plantation,General Surgery/Westside,General Surgery,2232440C0,4,4,4,4,4,4,4,4,4,4,4,4
Main,HCA Healthcare East FL Division GME,HCA Healthcare East FL Division GME,NOT,Margate,Tamiami,General Surgery/Kendall,General Surgery,2232440C1,6,6,6,6,5,5,5,5,0,0,0,0
Main,HCA Healthcare East FL Division GME,HCA Healthcare East FL Division GME,NOT,Margate,Lawnwood,General Surgery/Lawnwood,General Surgery,2232440C2,3,3,3,3,3,3,0,0,0,0,0,0
Main,HCA Healthcare East FL Division GME,HCA Healthcare East FL Division GME,NOT,Margate,Tamiami,Surgery-Preliminary/Kendall,Surgery-Preliminary,2232440P0,4,0,5,0,5,0,4,0,0,0,0,0
Main,HCA Healthcare East FL Division GME,HCA Healthcare East FL Division GME,NOT,Margate,Tamiami,Surg-Prelim/Anesth-Kendall,Surgery-Preliminary,2232440P1,1,0,1,1,1,0,1,1,0,0,0,0
Main,HCA Healthcare East FL Division GME,HCA Healthcare East FL Division GME,NOT,Margate,Plantation,Surgery-Preliminary/Westside,Surgery-Preliminary,2232440P2,6,0,0,0,0,0,0,0,0,0,0,0
Main,HCA Healthcare East FL Division GME,HCA Healthcare East FL Division GME,NOT,Margate,Aventura,Transitional/Aventura,Transitional,2232999P0,6,6,6,6,8,8,8,8,0,0,0,0
Main,HCA Healthcare East FL Division GME,HCA Healthcare East FL Division GME,NOT,Margate,Tamiami,Transitional/Kendall,Transitional,2232999P1,0,0,8,3,8,7,8,8,0,0,0,0
Main,HCA Healthcare East FL Division GME,HCA Healthcare East FL Division GME,NOT,Margate,Tamiami,Trans/Anesthesiology-Kendall,Transitional,2232999P2,5,3,5,4,5,5,5,5,0,0,0,0
Main,HCA Healthcare East FL Division GME,HCA Healthcare East FL Division GME,NOT,Margate,Plantation,Transitional/Westside,Transitional,2232999P3,15,7,15,3,15,11,15,4,0,0,0,0
Main,HCA Healthcare East FL Division GME,HCA Healthcare East FL Division GME,NOT,Margate,Fort Pierce,Transitional/Fort Pierce,Transitional,2232999P4,15,4,0,0,0,0,0,0,0,0,0,0
Main,HCA Florida JFK Hosp-U Miami-FL,HCA Florida JFK Hosp-U Miami,NOT,Atlantis,Atlantis,Internal Medicine,Internal Medicine,1384140C0,19,19,19,6,19,19,19,12,19,19,19,19
Main,HCA Florida JFK Hosp-U Miami-FL,HCA Florida JFK Hosp-U Miami,NOT,Atlantis,Atlantis,Orthopaedic Surgery,Orthopaedic Surgery,1384260C0,3,3,3,3,3,3,0,0,0,0,0,0
Main,HCA Florida JFK Hosp-U Miami-FL,HCA Florida JFK Hosp-U Miami,NOT,Atlantis,Atlantis,General Surgery,General Surgery,1384440C0,3,3,3,3,3,3,3,3,3,3,3,3
Main,HCA Florida JFK Hosp-U Miami-FL,HCA Florida JFK Hosp-U Miami,NOT,Atlantis,Atlantis,Surgery-Preliminary,Surgery-Preliminary,1384440P0,1,1,1,1,0,0,1,1,1,1,1,0
Main,HCA Florida Orange Park Hosp,HCA Florida Orange Park Hosp,NOT,Orange Park,Orange Park,Dermatology,Dermatology,1771080A0,3,3,3,3,3,3,3,3,3,3,3,3
Main,HCA Florida Orange Park Hosp,HCA Florida Orange Park Hosp,NOT,Orange Park,Orange Park,Dermatology,Dermatology,1771080R0,1,1,0,0,0,0,0,0,0,0,0,0
Main,HCA Florida Orange Park Hosp,HCA Florida Orange Park Hosp,NOT,Orange Park,Orange Park,Emergency Medicine,Emergency Medicine,1771110C0,12,12,12,12,12,11,12,2,12,12,12,12
Main,HCA Florida Orange Park Hosp,HCA Florida Orange Park Hosp,NOT,Orange Park,Orange Park,Family Medicine,Family Medicine,1771120C0,6,3,5,5,6,6,6,4,6,3,6,5
Main,HCA Florida Orange Park Hosp,HCA Florida Orange Park Hosp,NOT,Orange Park,Orange Park,Internal Medicine,Internal Medicine,1771140C0,13,13,13,13,13,6,13,3,13,1,13,3
Main,HCA Florida Orange Park Hosp,HCA Florida Orange Park Hosp,NOT,Orange Park,Orange Park,Psychiatry,Psychiatry,1771400C0,4,4,4,4,4,4,4,4,4,4,4,4
Main,HCA Florida Orange Park Hosp,HCA Florida Orange Park Hosp,NOT,Orange Park,Orange Park,General Surgery,General Surgery,1771440C0,3,3,3,3,3,3,3,3,3,3,3,3
Main,HCA Florida Orange Park Hosp,HCA Florida Orange Park Hosp,NOT,Orange Park,Orange Park,Surgery-Preliminary,Surgery-Preliminary,1771440P0,1,1,0,0,0,0,0,0,0,0,3,2
Main,HCA Florida Orange Park Hosp,HCA Florida Orange Park Hosp,NOT,Orange Park,Orange Park,Transitional,Transitional,1771999P0,13,13,13,13,14,14,14,10,14,7,14,14
Main,HCA Healthcare/JFK Med Center-UMiami-FL,HCA Healthcare/JFK Med Center-UMiami,NOT,Atlantis,Atlantis,Medicine-Preliminary,Medicine-Preliminary,1384140P0,0,0,0,0,0,0,0,0,2,2,3,3
Main,HCA Healthcare/USF Morsani - Bayonet Point,HCA Healthcare/USF Morsani - Bayonet Point,NOT,Hudson,Hudson,Internal Medicine,Internal Medicine,2137140C0,20,7,20,10,20,8,20,5,20,4,20,15
